State,year,GDP
AZ,2011,38248
AZ,2012,38537
AZ,2013,38292
CA,2011,52067
CA,2012,52912
CA,2013,53746
CO,2011,49274
CO,2012,49622
CO,2013,50426
FL,2011,37859
FL,2012,37690
FL,2013,37926
GA,2011,42137
GA,2012,42179
GA,2013,42332
IL,2011,51191
IL,2012,52154
IL,2013,51982
MA,2011,61770
MA,2012,62458
MA,2013,61721
MI,2011,39756
MI,2012,40464
MI,2013,41072
MN,2011,50879
MN,2012,51271
MN,2013,52030
NV,2011,44548
NV,2012,43345
NV,2013,43054
NJ,2011,54292
NJ,2012,55150
NJ,2013,55761
NY,2011,61173
NY,2012,62828
NY,2013,62605
NC,2011,43223
NC,2012,42655
NC,2013,42848
PA,2011,46868
PA,2012,47536
PA,2013,48380
TX,2011,48339
TX,2012,50231
TX,2013,51844
WA,2011,52495
WA,2012,53423
WA,2013,53987
